ID,target,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64,v65,v66,v67,v68,v69,v70,v71,v72,v73,v74,v75,v76,v77,v78,v79,v80,v81,v82,v83,v84,v85,v86,v87,v88,v89,v90,v91,v92,v93,v94,v95,v96,v97,v98,v99,v100,v101,v102,v103,v104,v105,v106,v107,v108,v109,v110,v111,v112,v113,v114,v115,v116,v117,v118,v119,v120,v121,v122,v123,v124,v125,v126,v127,v128,v129,v130,v131
24,1,,,C,,,,,,,1.31290963366,,6.52770820494,,12.6708701434,,,,,,,7.82435985414,GEH,,E,,,,,,D,A,,,3.00466682846,,,,0,,15.2709645857,,,,,,,I,,,1.32345441979,,E,,,,CY,,,,,,1,,,,A,,,,,F,1,,B,D,,,,C,,,,,,,,,,,,F,,,,,,,,,,,,,,,,A,,,A,,F,X,9.14013225081,,,,,,,,,,,AR,,,,0,,
27,1,,,C,,,,,,,1.02844611173,,5.98776326023,,10.6554748624,,,,,,,5.95916585054,ABQS,,D,,,,,,G,A,,,5.12523609561,,,,0,,11.6315743783,,,,,,,C,,,2.24341551314,,A,,,,AW,,,,,,1,,,,C,,,,,F,1,,B,D,,,,E,,,,,,,,,,,,A,,,,,,,,,,,,,,,,E,,,B,,M,,13.2610541849,,,,,,,,,,,AM,,,,0,,
28,0,,,C,,,,,,,1.31291087398,,6.88672854372,,12.3067246209,,,,,,,7.45743136909,QKP,,E,,,,,,,A,,,6.79616940249,,,,0,,9.27573977955,,,,,,,I,,,0.325728634869,,H,,,,BW,,,,,,1,,,,C,,,,,F,1,,B,D,,,,C,,,,,,,,,,,,G,,,,,,,,,,,,,,,,C,,,A,,T,P,14.3591953211,,,,,,,,,,,Z,,,,0,,
30,1,1.40026686648,5.36720439306,C,4.12215483179,8.1371884938,2.98308022282,2.64024872801,0.211851138383,11.0215055714,1.81619251773,15.5945206583,6.21517580925,2.86110207202,11.1858200794,2.07826489363,4.53038753416,3.08574725696,1.87150957854,0.17627162212,17.7357281123,5.83076670566,MVD,-0.000000893918217383,C,0.0593485943416,1.60804353068,3.83348168016,9.60230969367,7.31967983734,,B,1.36910152367,1.61175473254,5.09079279975,6.89225350765,12.5877462118,0.573355021356,0,1.60150179197,12.4788363919,6.33570732796,11.3935881125,2.15890376905,11.9580104256,6.94080154178,0.122971736618,C,12.9721806926,7.09706196855,3.21913203009,6.38053929955,J,15.8150846594,0.0510922814892,1.14870949497,AL,3.87800589685,5.67220508972,7.83729677128,1.46927774132,14.6424334127,0,0.109179166597,5.41602367156,16.1070409299,A,8.12555616867,16.1178246799,9.50276304938,8.80674453837,F,4,2.34018337923,B,D,1.86974735909,6.52270613937,13.5911608418,B,2.20430166485,6.30577687158,14.6001165447,1.64292007324,1.09528055187,1.59211547284,1.09528146224,8.90506596791,1.67408816555,0.0480876552873,0.826685641108,G,0.437798106896,4.8392666896,3.46130179811,0.489710411534,5.78806724311,6.07082728567,12.0176432102,1.27337576606,14.3051360848,4.92298345416,1.20467839302,4.2259542469,1.80537983553,0.106835690329,11.1329711243,C,1.56980683492,1.06907866974,B,2.53784470629,E,,12.9548559655,10.4972378681,2.18978163991,2.76969056087,6.64418126873,1.23366666552,2.40181231789,2.31493058865,8.81720341559,2.09606191373,0.000000545906108463,AQ,1.73165632498,6.10251642466,1.38811695794,4,1.22091069046,1.8784527582
31,1,2.2600357086,14.6932626703,C,5.15075011304,8.55413578726,1.95462553006,2.93193632027,0.0414456541394,7.0229014443,1.29102923445,15.8379371214,6.8379242794,3.19118155116,12.6034038073,1.39170076243,5.30612284527,5.94886097448,0.263623329384,0.26532284302,15.1583149508,7.72894817555,QKP,-0.000000758751827898,E,0.123928528489,2.14368754017,2.09424097689,2.44815071472,8.62129173536,B,A,1.204188058,1.71029609123,4.60370617107,9.63350772379,10.7792981101,0.833332821394,0,0.0580077384658,12.7204968705,7.50436282074,14.9389175023,2.46777227414,13.0911561558,8.71442409591,0.110181409279,C,9.85081373089,9.73821944782,0.416697677375,6.30804081339,G,16.2753028844,0.144654193242,1.62303636496,AS,6.02094327552,2.19839094202,12.8589806792,1.91972120436,15.8752218059,1,0.172642623636,9.55897270604,14.0991960692,A,9.47644021908,18.9812329884,12.6530614043,12.6909377563,F,1,1.76488640931,B,D,3.74820569476,8.0628268992,11.4285717484,E,1.98473288677,6.79255834538,8.69819003535,1.4659693331,1.36125744068,3.08724783293,0.863874625169,11.6456239747,1.18673587436,0.125331216715,1.39418944477,G,0.470192419823,6.83850412167,5.78552870039,0.51907808549,7.0157076513,7.14285618134,5.47428455102,1.82373426802,17.7479899799,13.6056869781,2.62352248207,6.25576519753,2.49202304044,0.0334206081607,15.4732106654,C,3.04946326599,5.4276318201,B,1.78010434688,T,,11.4696860005,6.93877553603,2.42914957204,7.71183348549,7.97619086356,2.00818554354,0.965146872433,1.50537727309,5.03816774086,1.836666594,0.00597397929407,Z,3.24212816638,0.818063259223,2.40005032813,0,1.16666605528,2.85714258874
32,1,,,C,,,,,,,1.31290963231,,6.42845036665,,11.6859323452,,,,,,,6.92070935257,NKE,,E,,,,,,,A,,,2.15677267338,,,,0,,16.6116776145,,,,,,,I,,,1.59929560439,,C,,,,CY,,,,,,1,,,,A,,,,,B,1,,B,B,,,,C,,,,,,,,,,,,A,,,,,,,,,,,,,,,,E,,,A,,F,S,7.50845609679,,,,,,,,,,,BY,,,,0,,
33,1,0.622896057771,7.02473161621,C,4.19368768327,6.28817658695,2.13243599039,3.19865379912,0.407524783556,10.4347816773,1.31290948178,15.5459777995,6.52982010799,3.29531315675,12.6886051759,1.95421583892,8.08080873665,2.65919390938,0.550568368377,0.214862977807,16.2998896902,7.77116648006,NSV,0.0443267958223,E,0.287112336895,1.21399120546,4.10774403207,3.80799661837,6.7003365622,G,A,1.61616171021,2.22222215104,2.03871618757,6.84624003672,16.8108131498,0.210527150068,0,-0.000000998187708285,16.798351325,6.07182876099,12.6262630781,1.69540199917,11.069608217,8.2286433153,0.323999446879,I,13.7034218065,7.36251339151,1.31758420694,9.53470923692,F,16.2479057794,0.230200287665,1.71717115051,,4.15263663923,2.13093795802,8.66476061765,1.17283995355,14.5426428645,1,0.318184244373,4.79004016564,14.4980961853,B,7.81144725492,19.3324777805,10.3030310321,10.6497102677,F,1,2.87356305104,B,D,1.58445621966,6.3187429371,11.1111106252,C,4.34782671856,10.8672458656,3.13703855371,1.8518521419,2.69360230794,1.90305183485,0.942761155301,5.18654612595,0.763188428948,0.140103781128,0.952757026255,C,0.307247303412,4.56408441459,5.1114483378,0.368979165323,5.44332290027,4.00000087279,7.48652535499,1.00823009672,17.8947374336,5.13798427393,1.70281132504,7.84781585133,2.25099948267,0.140704977272,10.428493293,D,1.01734659542,0.729264898506,A,3.16498232154,I,G,7.01704630432,9.49494878146,1.90954860394,4.81701661195,4.14035060496,2.28444466224,0.693197390997,2.51524468807,6.08695653436,2.8126236032,0.247422298344,BJ,1.86552976752,3.34595982242,0.796533190243,0,1.3894735266,0.606061471162
34,1,,,C,,,,,,,1.55361082029,,6.77944816318,,12.3215001012,,,,,,,6.97674391264,,,D,,,,,,C,B,,,6.53754796175,,,,0,,9.9269234881,,,,,,,C,,,1.11510508129,,D,,,,AZ,,,,,,0,,,,A,,,,,F,2,,B,D,,,,B,,,,,,,,,,,,A,,,,,,,,,,,,,,,,E,,,B,,T,,14.1642283861,,,,,,,,,,,Z,,,,2,,
35,1,,,C,,,,,,,1.79431000466,,6.94248837486,,12.2923751484,,,,,,,6.83977580489,ABJD,,C,,,,,,,B,,,8.56545137145,,,,0,,6.96259399253,,,,,,,C,,,1.15325367455,,C,,,,Z,,,,,,0,,,,A,,,,,B,1,,B,B,,,,A,,,,,,,,,,,,B,,,,,,,,,,,,,,,,B,,,B,,J,,16.1856575686,,,,,,,,,,,E,,,,1,,
36,1,,,C,,,,,,,3.91684813741,,8.50020273306,,14.7756778378,,,,,,,8.74336435106,AGDF,,C,,,,,,F,B,,,7.80466980904,,,,0,,10.3017154765,,,,,,,C,,,1.15618894656,,C,,,,DN,,,,,,0,,,,B,,,,,F,1,,B,D,,,,A,,,,,,,,,,,,G,,,,,,,,,,,,,,,,C,,,B,,F,,13.8940525278,,,,,,,,,,,AZ,,,,1,,
37,1,0.943877988227,5.92719421344,C,4.40437170362,9.04505696854,2.5510208688,2.69387761642,0.0856646223905,8.60103645578,3.91684815021,16.2805524912,6.49655227397,3.15597467556,15.6139931276,1.53787025972,5.13513595745,3.55479095885,0.678492655523,0.17801179103,18.7310063048,9.61551648995,IEE,0.000000225052588434,C,0.135624722522,1.72108887853,3.13265236735,4.18858258057,8.84693972703,,B,1.27040841567,1.51020339143,7.40016983535,8.65306055466,13.1588338978,0.378786964539,0,1.21705953591,10.9413204225,7.81632705428,12.9795925265,1.95536566069,10.5848704425,8.94779093423,0.139216448057,C,12.2497185082,8.31632719218,6.72437867345,7.32086936521,K,16.5167251107,0.0947705529371,0.887755654157,BQ,4.45918459357,7.31250022905,11.0975859789,1.62755072182,16.0524527879,0,0.159189169265,6.17400600657,17.4361155182,A,9.60203983023,16.9374992327,7.83783729858,12.3147366549,F,1,1.83758460812,B,D,2.16201778931,7.08163291991,13.5135140543,B,1.96891141894,5.78262611369,12.1307650964,1.53061150945,1.16326560032,2.60273974655,0.979590868951,9.57849360626,3.59183613641,0.0528241964683,0.963983554306,A,0.536394415785,5.34388602084,3.56649107907,0.582201489406,7.30612151527,6.59090928862,8.53678766871,1.42176780136,12.6666671937,8.5047858345,2.99831166795,4.14712060435,2.14667614095,0.0547075709095,12.4225685064,E,2.05904677287,2.66447419322,B,2.75510129009,D,,15.4005497768,12.162161834,2.00692044744,5.23329669371,6.9696971373,0.743772452129,1.93750016964,1.84049037131,6.63212483927,2.41903707306,0.0184792607917,U,1.88456727165,2.6020406389,1.95977619584,1,1.12121224088,1.35135052267
39,1,1.28984092977,4.78864472884,C,4.28341727231,10.7195705169,3.10757006292,1.96215061913,0.080812136398,8.60465158546,5.22975842984,16.2754601019,9.23314041689,3.50723009933,14.37672359,1.73049235132,6.73077016799,2.98092035368,0.540673876173,0.247952676544,18.1626363219,8.07164471753,AHGR,0.000000524114851419,E,0.140160291271,1.47908324049,1.68326688698,4.29121318275,9.23306776845,G,B,1.65836727413,2.07171389142,9.14913591075,10.6972102808,12.5877455205,0.710659567252,0,0.395964030963,9.49714121624,8.35657371591,13.6852595378,1.57128955222,8.11079924568,11.2570260063,0.133654546337,C,13.1017116138,9.1533858571,1.79884117711,4.85737548351,K,16.763754918,0.133756048065,1.49402473505,DI,4.17330708929,1.83006519565,13.4528363753,1.3512625118,15.1378572157,0,0.159213066123,5.34823152429,16.7386781611,A,10.2689239778,19.1372556944,9.61538389506,14.7390948718,F,1,2.2429689892,B,D,1.77657140639,8.09760902503,11.9230769404,B,2.71317868833,4.9741225286,11.7221244622,1.85258890875,2.09163346432,1.6780820406,1.15039885397,9.56596554832,2.29083674999,0.113772982125,1.06335502785,B,0.810264831218,5.32464381688,3.61837519314,0.899314016902,7.7390444322,7.51269053845,4.809763732,1.35126117002,17.960784173,8.0916015491,4.04236576516,5.22969573845,2.80105308902,0.0508193418271,11.3203340112,B,2.14403988395,1.8749991932,B,3.2270906604,H,I,14.7246199807,10.3846160554,1.59654897304,6.76371700498,8.22334982403,0.248265647841,0.522875383357,2.02393949933,5.96899318837,2.169826131,0.0049198430265,CD,1.46079297484,1.53137515372,1.96465230084,1,2.11167510096,1.3461548039
40,1,0.728823883438,4.07324412822,C,4.13005407933,9.03256252957,4.14970453668,1.91726940543,2.7679339567,6.14973272206,1.31290979576,15.9970131079,6.96117392272,3.79396471747,13.0073602098,1.27373075028,5.65517309822,2.57957186113,1.20079109391,0.301888423275,16.3896396718,8.15947427348,WRI,0.41202976394,E,3.11106175421,1.85379656074,3.2501642041,6.51058331874,7.83979040149,,A,1.13263199666,1.90413715678,6.4323949605,8.53578437624,14.9722480254,0.410958584794,0,2.29228394644,9.85095157386,7.03217253003,12.8562048852,2.30022448571,8.13874678334,7.05306895925,3.12099059122,I,14.204014637,8.48325573894,0.118845863923,8.66804876202,I,16.298156567,2.13839531966,1.55614014569,BW,3.93959238604,19.7057085818,9.2882168328,1.76953407384,13.2903891631,2,3.06518747243,4.5405529226,14.7886670037,A,8.79185766407,16.4685115016,10.8965513424,11.6600099469,C,2,1.78927141482,B,B,1.56477821003,6.69074208017,13.3793111386,C,2.19251328083,7.55742459126,3.58849185414,1.9107032964,1.61523301248,4.53488418984,0.718974903766,10.1499879979,2.65265959361,3.10069873172,0.856333169898,F,0.691477897992,4.88609683949,4.30471217731,0.776222580891,6.38870606351,10.0684931645,8.07587648217,1.48063000995,0.188346573206,5.63020001707,2.93138433575,5.98348395578,2.67674502485,1.81552433771,9.57853444641,A,1.89096878752,3.5971306941,A,2.60013212272,S,AC,13.84698786,9.1034482521,2.46231057875,9.87327120067,10.5479461572,0.0866834524569,1.40082362486,2.25232206828,3.90374241604,3.40192374946,0.710737216926,AE,1.84038385363,3.7795466817,1.79843523463,0,1.98630201755,0.827585243635
42,1,3.94456282679,5.71851634704,C,2.20508028804,5.34064847986,2.01035566959,1.65702112748,3.23315969565,8.56581446928,3.9168497741,15.2874991331,8.47116416718,4.5067175651,14.2314371992,2.59026194037,3.80622867794,2.10991288735,0.896175451846,0.364924398136,15.9206667279,8.15042540408,ACLU,19.9999990248,C,2.13364684561,1.77581567966,1.44989404175,7.01731975368,7.9865968712,D,B,1.99208117894,3.52117047702,9.17740751797,9.72281503396,16.8178905891,2.57352866253,0,0.119444606108,8.13110535737,7.45050302767,13.9932980027,1.987499418,8.4592358959,11.0697390504,2.51718335748,C,15.3018019487,9.23545605532,1.23688571113,12.1328623398,G,15.6216630617,1.66329129105,2.19311619666,BM,4.17301259901,19.7318608162,10.6659956646,1.3849124622,11.8934710593,0,2.50440360889,3.7223349534,13.1500620268,A,9.74718287991,19.1798112743,8.30449892692,13.4477523203,C,2,2.83854167382,B,B,1.27840415352,7.40785805927,13.7716272657,O,2.16109983572,11.895058055,2.57886873606,3.63691765592,2.01035589584,4.25790722321,1.48949034101,4.37838088481,1.30368478545,2.57173856619,1.09175858005,C,0.832280752097,2.79355936018,4.49723107737,1.02258870341,6.23819753346,9.11764722806,3.31322109078,0.603106488826,0.0788648066719,4.21605100865,4.03804974713,6.50498360763,3.37996652151,1.04692432446,8.06546849146,D,1.08410058323,0.562831388466,B,6.21382893534,O,,15.4694389261,11.7647055958,1.89168504044,3.90732400619,11.6911755518,7.62978471536,0.709780053818,3.93799430209,6.40471481398,10.6911569924,3.06576610257,AU,1.81341850838,1.23362781829,0.626693680457,2,4.25000083398,2.42214520855
